id,label,x_true,E_A,E_B,alpha,snr_db
0,leak,112.18835968600399,0.26359193725517577,0.5598582282796178,0.01,6.921704490133188
1,leak,29.998379083312496,0.51670648925704,0.21066129351649485,0.01,16.397947660142
2,leak,119.70347259737119,0.20965417631062513,0.5122794082345427,0.01,17.553837755505235
3,leak,93.59869162209736,0.31525955562831137,0.45773512605439043,0.01,7.144624711070442
4,leak,85.73879204319105,0.29599223749616865,0.36953997978250264,0.01,15.070659081391675
5,leak,31.48073260290489,0.6075407724561402,0.2574478758190032,0.01,6.276234013725039
6,leak,29.639667116010013,0.6171439434559961,0.2561200000037119,0.01,6.2578404412799316
7,leak,31.329003042793495,0.5871325676192284,0.24398579287330951,0.01,7.420614675552307
8,leak,123.76140122614237,0.243681673516338,0.6575507426582238,0.01,6.513948634945992
9,leak,46.88448764725008,0.44262765724946074,0.25154382917198004,0.01,14.656094411598852
10,leak,79.45406529379112,0.32059673600343097,0.351505332406054,0.01,13.595765487407895
11,leak,123.36305120906694,0.2023948897930227,0.5350042074133715,0.01,16.341064876357397
12,leak,110.00167716246035,0.22858905937130258,0.46046774528180684,0.01,19.751674206248232
13,leak,38.53570397441919,0.46692164785454815,0.22535479692673516,0.01,19.594466652561877
14,leak,13.509366752994683,0.7689347103516031,0.22075714003773345,0.01,5.667450703887002
15,leak,23.243790699146473,0.5503432843223781,0.19559648649514488,0.01,16.811797777093503
16,leak,14.283011862910588,0.6494803909944653,0.19200314368247673,0.01,9.73766913262199
17,leak,42.16386527310276,0.46221672613742965,0.23949756580325093,0.01,14.616409213371702
18,leak,73.06418170830085,0.3430672826902681,0.33464541929646674,0.01,12.711696537638694
19,leak,125.38333389579935,0.19975210906511998,0.543420459214093,0.01,15.899357482652157
20,leak,84.35638017123075,0.29736862048870427,0.3572880062540419,0.01,18.408693025725228
21,leak,117.01683855017122,0.2584296007574323,0.6059876338060927,0.01,6.2854610513073075
22,leak,96.26035661197263,0.2793321809139807,0.426492895474349,0.01,11.177161878287967
23,leak,125.43082394911406,0.21162882725352364,0.5714959053119006,0.01,10.980446895021487
24,leak,127.7735216087723,0.19787701030291457,0.5771636111581999,0.01,13.169824021306827
25,leak,109.68841557666904,0.27278159162473015,0.555848995667456,0.01,6.634406876237383
26,leak,102.94325207726168,0.30172666787680397,0.514596496126457,0.01,6.634380049656519
27,leak,10.032404639722193,0.624851767806852,0.17104605251007354,0.01,16.376447000738224
